id,type,color,x,y,z,yaw
non_target_0,SEDAN,orange,-32.25,140.75,0,3.141592653589793
non_target_1,SUV,red,-48.75,180.5,0,0
non_target_2,SUV,orange,-99.5,-92.75,0,3.141592653589793
non_target_3,SUV,white,-49,-58.75,0,1.5707963267948966
non_target_4,SUV,green,-40.75,-94.25,0,0
non_target_5,SEDAN,yellow,-95.25,-97.5,0,3.141592653589793
non_target_6,SEDAN,black,-33,-100.75,0,0
non_target_7,SEDAN,red,-2.25,-143.25,0,0
non_target_8,SUV,violet,-95.25,-114.25,0,1.5707963267948966
non_target_9,SEDAN,green,-18.25,-118,0,0
